order_book_id,datetime,close,low,total_turnover,open_interest,trading_date,volume,high,open
IF2309,2023-06-06 11:14:00,3823.2,3822.6,17206260.0,74775.0,2023-06-06,15.0,3824.8,3824.8
IF2309,2023-06-06 11:15:00,3823.2,3822.2,18349200.0,74773.0,2023-06-06,16.0,3823.4,3822.4
IF2309,2023-06-06 11:16:00,3820.6,3820.6,14904540.0,74770.0,2023-06-06,13.0,3822.6,3822.6
IF2309,2023-06-06 11:17:00,3820.6,3819.4,53867160.0,74779.0,2023-06-06,47.0,3821.4,3820.8
IF2309,2023-06-06 11:18:00,3817.8,3817.8,69886020.0,74776.0,2023-06-06,61.0,3820.4,3819.6
IF2309,2023-06-06 11:19:00,3816.6,3816.4,52680840.0,74798.0,2023-06-06,46.0,3818.6,3817.8
IF2309,2023-06-06 11:20:00,3817.8,3816.8,18323820.0,74801.0,2023-06-06,16.0,3818.4,3817.0
IF2309,2023-06-06 11:21:00,3814.8,3812.6,109871280.0,74840.0,2023-06-06,96.0,3817.2,3817.2
IF2309,2023-06-06 11:22:00,3813.0,3811.4,57187200.0,74865.0,2023-06-06,50.0,3814.2,3814.2
IF2309,2023-06-06 11:23:00,3812.0,3811.4,41169420.0,74873.0,2023-06-06,36.0,3812.6,3812.0
IF2309,2023-06-06 11:24:00,3813.2,3811.2,53755980.0,74897.0,2023-06-06,47.0,3813.4,3811.2
IF2309,2023-06-06 11:25:00,3812.8,3811.0,54898740.0,74915.0,2023-06-06,48.0,3813.6,3812.8
IF2309,2023-06-06 11:26:00,3812.4,3811.4,20586120.0,74928.0,2023-06-06,18.0,3813.4,3811.6
IF2309,2023-06-06 11:27:00,3814.0,3813.2,18305700.0,74931.0,2023-06-06,16.0,3814.4,3813.4
IF2309,2023-06-06 11:28:00,3815.2,3813.0,37760640.0,74940.0,2023-06-06,33.0,3815.8,3813.8
IF2309,2023-06-06 11:29:00,3814.0,3814.0,18312060.0,74945.0,2023-06-06,16.0,3816.2,3815.2
IF2309,2023-06-06 11:30:00,3815.0,3814.0,20599560.0,74950.0,2023-06-06,18.0,3815.4,3814.4
IF2309,2023-06-06 13:01:00,3812.2,3811.4,35457660.0,74958.0,2023-06-06,31.0,3814.8,3814.8
IF2309,2023-06-06 13:02:00,3814.2,3812.8,26314020.0,74959.0,2023-06-06,23.0,3814.2,3812.8
IF2309,2023-06-06 13:03:00,3814.8,3812.4,24024300.0,74962.0,2023-06-06,21.0,3814.8,3813.6
IF2309,2023-06-06 13:04:00,3816.0,3813.4,36629160.0,74969.0,2023-06-06,32.0,3816.8,3814.2
IF2309,2023-06-06 13:05:00,3816.0,3814.0,26324160.0,74974.0,2023-06-06,23.0,3816.0,3815.0
IF2309,2023-06-06 13:06:00,3815.8,3814.6,19456140.0,74973.0,2023-06-06,17.0,3815.8,3815.0
IF2309,2023-06-06 13:07:00,3813.0,3812.4,25168080.0,74970.0,2023-06-06,22.0,3815.8,3815.8
IF2309,2023-06-06 13:08:00,3812.2,3812.0,21731460.0,74971.0,2023-06-06,19.0,3813.0,3812.8
